 order,family,genus,species,Stem Length Meters,VDbase µm (Vessel diameter stem base micrometers),VDtip µm (Vessel diameter stem tip micrometers),Datos crudos sobre hojas,Fuente general,Fuente herbario,Mín. longitud total de la hoja (cm),Máx. longitud total de la hoja (cm),Mín. longitud del peciolo (cm),Máx. longitud del peciolo (cm),Mín. longitud de la lámina (cm),Máx. longitud de la lámina (cm),Mín. ancho de hoja o lámina (cm),Máx. ancho de hoja o lámina (cm),Tipo de hoja (simple/compuesta),Long hoja (cm),Ancho hoja (cm),NOTAS
Lamiales,Bignoniaceae,Fridericia,schumanniana,32.72,166.84,35.66,,,,,,,,,,,,,,,
Lamiales,Bignoniaceae,Handroanthus,impetiginosus,12.63,76.04,19.38,,,,,,,,,,,,,,,
Lamiales,Bignoniaceae,Mansoa,verrucifera,38.70,115.60,29.05,"Hojas 3-folioladas o 2-folioladas con 1 zarcillo trífido o con cicatriz de zarcillo; folíolos ovado-elípticos, 714 cm de largo y 46 cm de ancho, ápice agudo, base ampliamente cuneada a ampliamente subcordada, 3-nervadas desde la base, con campos glandulares en las axilas de los nervios basales laterales",http://www.worldfloraonline.org/taxon/wfo-0000779077,,,,,,,,,,Compuesta,,,
Lamiales,Bignoniaceae,Pandorea,pandorana,9.08,80.67,21.56,"Leaflet blades about 4-14 x 1-6.5 cm, leaflet stalks about 0.2-3.5 cm long, sometimes almost absent. An articulation is usually visible on the stalk of the terminal leaflet and on the stalks of the basal pair of leaflets",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Pandorea_pandorana.htm,,,,,,,,,,Compuesta,,,
Lamiales,Bignoniaceae,Paragonia,pyramidata,32.17,236.81,39.31,"Hojas 2-folioladas, frecuentemente con 1 zarcillo menudamente bífido; folíolos elíptico-ovados a elíptico-obovados, 722 cm de largo, ápice agudo, base cuneada a redondeada, con olor dulce cuando frescos",http://www.worldfloraonline.org/taxon/wfo-0000779488,,,,,,,,,,Compuesta,,,
Lamiales,Bignoniaceae,Pyrostegia,venusta,7.85,76.57,16.70,"Hojas 23-folioladas, a veces con 1 zarcillo trífido; folíolos ovados, ápice agudo, base redondeada",http://www.worldfloraonline.org/taxon/wfo-0000779272,,,,,,,,,,Compuesta,,,
Lamiales,Bignoniaceae,Stizophyllum,riparium,30.20,84.24,25.23,,,,,,,,,,,,,,,
Lamiales,Bignoniaceae,Tabebuia,ochracea,4.48,69.03,16.10,,,,,,,,,,,,,,,
Lamiales,Bignoniaceae,Zeyheria,montana,2.06,42.50,20.59,,,,,,,,,,,,,,,
Lamiales,Gesneriaceae,Coronanthera,sericea,6.31,77.13,18.91,,,,,,,,,,,,,,,
Lamiales,Gesneriaceae,Moussonia,deppeana,2.08,41.00,17.94,,,,,,,,,,,,,,,
Lamiales,Lamiaceae,Chloanthes,sp,1.08,30.44,14.28,,,,,,,,,,,,,,,
Lamiales,Lamiaceae,Monardella,linoides,0.14,23.28,11.67,,,,,,,,,,,,,,,
Lamiales,Lamiaceae,Salvia,leucophylla,1.79,30.76,15.71,,,,,,,,,,,,,,,
Lamiales,Lamiaceae,Salvia,mellifera,2.12,28.36,14.23,,,,,,,,,,,,,,,
Lamiales,Lamiaceae,Salvia,pachyphylla,0.50,22.95,14.03,,,,,,,,,,,,,,,
Lamiales,Lamiaceae,Scutellaria,mexicana,0.92,22.34,14.50,,,,,,,,,,,,,,,
Lamiales,Oleaceae,Fraxinus,americana,24.50,114.64,22.72,,,,,,,,,,,,,,,
Lamiales,Oleaceae,Fraxinus,dipetala,5.10,44.82,12.60,,,,,,,,,,,,,,,
Lamiales,Oleaceae,Fraxinus,excelsior,7.68,77.42,17.09,,,,,,,,,,,,,,,
Lamiales,Oleaceae,Osmanthus,austrocaledonicus,6.24,66.32,13.12,,,,,,,,,,,,,,,
Lamiales,Orobanchaceae,Cordylanthus,rigidus,1.27,24.16,13.74,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Angelonia,pubescens,2.61,28.13,12.32,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Keckiella,cordifolia,3.56,32.24,11.58,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Keckiella,ternata,0.89,21.32,11.47,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Penstemon,centranthifolius,0.43,23.58,10.15,,,,,,,,,,,,,,,
Lamiales,Scrophulariaceae,Buddleja,stachyoides,1.44,23.38,12.07,,,,,,,,,,,,,,,
Lamiales,Verbenaceae,Lantana,camara,9.51,95.52,27.43,"Twigs and both the upper and lower surfaces of the leaf blade scabrous. Lateral and reticulate veins depressed on the upper surface. Leaf blades about 2.8-11 x 1.5-7 cm, aromatic when crushed, petioles about 0.5-1.4 cm long. Twigs 4-angled. Sparsely scattered, short, recurved spines usually found on the leaf bearing twigs.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Lantana_camara.htm,,,,,,,,,,Simple,,,
Lamiales,Verbenaceae,Lantana,sp,3.09,34.61,13.18,Especie no determinada,,,,,,,,,,,,,,
Lamiales,Verbenaceae,Lippia,balansae,3.43,44.79,14.70,,,,,,,,,,,,,,,
Lamiales,Verbenaceae,Lippia,gracilis,3.53,30.89,11.39,,,,,,,,,,,,,,,
Laurales,Atherospermataceae,Atherosperma,moschatum,19.23,44.73,13.73,,,,,,,,,,,,,,,
Laurales,Atherospermataceae,Doryphora,sassafras,20.03,62.84,16.68,,,,,,,,,,,,,,,
Laurales,Atherospermataceae,Nemuaron,vieillardii,9.18,51.44,13.33,MARIANA,,,,,,,,,,,,,,
Laurales,Calycanthaceae,Idiospermum,australiense,24.00,156.75,24.16,"Leaf blades about 10-17 x 3.5-5.5 cm. Lateral veins slightly raised on the upper surface, curved throughout their length, but not forming definite loops.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Idiospermum_australiense.htm,,,,,,,,,,,13.5,,
Laurales,Hernandiaceae,Gyrocarpus,jatrophifolius,7.70,156.92,30.77,"Hojas 5-45 ´ 5-45 cm, (3-)5(-7)-lobuladas, pelosas cuando jóvenes, glabrescentes cuando maduras, la base anchamente cordada; lóbulos enteros, oblongo-ovados, acuminados; los senos 2/5-3/5 del largo de la lámina; pecíolo 1-42.5 cm",https://www.tropicos.org/docs/meso/hernandiaceae.pdf,,5,45,,,,,,,,,,
Laurales,Hernandiaceae,Hernandia,albiflora,7.95,76.44,21.44,Leaf blades about 11-16 x 3-5.5 cm. Midrib raised on the upper surface. Lateral veins form loops inside the blade margin. Oil dots readily visible with a lens.,http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Hernandia_albiflora.htm,,,,,,,,,,,135,,
Laurales,Hernandiaceae,Hernandia,cordigera,8.50,89.89,24.58,"Feuilles entières (lobées chez les jeunes individus) ; pétiole long de (2-) 3-10 (-16) cm, finement pubescent à glabre ; limbe ové à elliptique, de (6-) 8-17 (-23) x (3-) 4-10 (-12) cm, arrondi parfois cordé à la base, arrondi au sommet, glabre (nervure médiane finement pubescente à glabre en dessous), à (3-) 4-5 (-6) paires de nervures secondaires ; nervation proéminente dessous.",https://www.biodiversitylibrary.org/item/279111#page/5/mode/1up,,,,,,,,,,,,,
Laurales,Hernandiaceae,Sparattanthelium,amazonum,11.76,137.28,31.35,"Hojas 2-13 x 1-8 cm, lanceoladas, elípticas u oblongo-ovadas, herbáceas, lustrosas, generalmente glabras, a veces pelosas principalmente en las nervaduras, acuminadas, la base redondeada a atenuada, frecuentemente oblicua; pecíolo 1-8 cm",https://www.tropicos.org/docs/meso/hernandiaceae.pdf,,,,,,,,,,,,,
Laurales,Lauraceae,Beilschmiedia,oreophila,4.23,50.46,10.11,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,aristata,9.75,71.07,14.96,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,aurea,3.75,63.70,17.36,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,elliptica,5.39,53.88,13.25,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,gracilis,4.35,69.92,16.43,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,longifolia,3.50,56.71,15.71,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,macrodesme,5.68,75.35,25.75,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,odorata,3.90,86.40,21.16,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,oubatchensis,5.89,73.80,20.38,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,pluricostata,3.65,54.46,11.65,,,,,,,,,,,,,,,
Laurales,Lauraceae,Cryptocarya,velutinosa,7.30,70.07,17.50,,,,,,,,,,,,,,,
Laurales,Lauraceae,Endiandra,baillonii,4.42,69.59,18.12,,,,,,,,,,,,,,,
Laurales,Lauraceae,Licaria,nayaritensis,3.98,51.77,22.72,,,,,,,,,,,,,,,
Laurales,Lauraceae,Lindera,benzoin,2.91,34.56,16.24,,,,,,,,,,,,,,,
Laurales,Lauraceae,Nectandra,ambigens,18.00,133.07,38.15,,,,,,,,,,,,,,,
Laurales,Lauraceae,Ocotea,corymbosa,4.63,64.86,13.27,,,,,,,,,,,,,,,
Laurales,Lauraceae,Sassafras,albidum,5.00,68.51,17.74,,,,,,,,,,,,,,,
Laurales,Monimiaceae,Hedycarya,cupulata,5.53,62.31,18.84,,,,,,,,,,,,,,,
Laurales,Monimiaceae,Hedycarya,engleriana,5.74,72.33,20.84,,,,,,,,,,,,,,,
Laurales,Monimiaceae,Hedycarya,parvifolia,7.83,63.39,12.37,,,,,,,,,,,,,,,
Laurales,Monimiaceae,Kibaropsis,caledonica,6.28,37.89,23.73,,,,,,,,,,,,,,,
Laurales,Monimiaceae,Palmeria,scandens,6.67,60.47,28.70,,,,,,,,,,,,,,,
Laurales,Monimiaceae,Wilkiea,hugeliana,2.64,45.10,11.18,,,,,,,,,,,,,,,
Laurales,Siparunaceae,Siparuna,gesnerioides,9.30,63.68,19.98,,,,,,,,,,,,,,,
Laurales,Siparunaceae,Siparuna,thecaphora,4.77,51.83,25.71,,,,,,,,,,,,,,,
Liliales,Smilacaceae,Smilax,leucophylla,6.18,74.23,38.26,,,,,,,,,,,,,,,
Liliales,Smilacaceae,Smilax,polyantha,3.94,69.69,29.90,,,,,,,,,,,,,,,
Magnoliales,Annonaceae,Annona,coriacea,2.71,94.09,17.89,,,,,,,,,,,,,,,
Magnoliales,Annonaceae,Annona,crassiflora,1.36,69.26,17.20,,,,,,,,,,,,,,,
Magnoliales,Annonaceae,Annona,leptopetala,4.43,33.82,12.66,,,,,,,,,,,,,,,
Magnoliales,Annonaceae,Cymbopetalum,baillonii,11.93,87.72,30.05,,,,,,,,,,,,,,,
Magnoliales,Annonaceae,Hubera,nitidissima,8.60,52.58,16.21,,,,,,,,,,,,,,,
Magnoliales,Annonaceae,Meiogyne,tiebaghiensis,5.10,47.88,20.13,,,,,,,,,,,,,,,
Magnoliales,Eupomatiaceae,Eupomatia,barbata,0.49,20.17,15.32,"Leaf blades about 16-20 x 5-6 cm, petioles short, about 0.2-0.4 cm long.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Eupomatia_barbata.htm,,,,,,,,,,,18,,
Magnoliales,Eupomatiaceae,Eupomatia,laurina,10.63,67.51,14.65,"Leaf blades about 11-20 x 3.5-7.5 cm. Lateral veins forming loops well inside the blade margin. Leafy twigs smooth and green, marked by small white longitudinally elongated lenticels. Very small oil dots just visible with a lens",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Eupomatia_laurina.htm,,,,,,,,,,,15.5,,
Magnoliales,Himantandraceae,Galbulimima,baccata,8.31,75.78,25.07,,,,,,,,,,,,,,,
Magnoliales,Magnoliaceae,Liriodendron,tulipifera,30.15,74.25,16.50,,,,,,,,,,,,,,,
Magnoliales,Myristicaceae,Virola,guatemalensis,6.78,70.60,28.18,,,,,,,,,,,,,,,
Malpighiales,Achariaceae,Ryparosa,kurrangii,14.83,76.14,24.07,,,,,,,,,,,,,,,
Malpighiales,Balanopaceae,Balanops,pancheri,3.52,32.74,20.93,,,,,,,,,,,,,,,
Malpighiales,Calophyllaceae,Kielmeyera,grandiflora,2.52,66.02,32.55,,,,,,,,,,,,,,,
Malpighiales,Chrysobalanaceae,Couepia,grandiflora,2.64,114.31,15.50,,,,,,,,,,,,,,,
Malpighiales,Clusiaceae,Clusia,sp,1.09,23.81,16.88,,,,,,,,,,,,,,,
Malpighiales,Clusiaceae,Garcinia,intermedia,12.50,83.90,28.32,,,,,,,,,,,,,,,
Malpighiales,Clusiaceae,Montrouziera,sphaeroidea,2.21,89.25,13.75,,,,,,,,,,,,,,,
Malpighiales,Erythroxylaceae,Erythroxylum,revolutum,4.87,37.98,8.28,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Adelia,brandegeei,3.52,36.58,14.67,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Cnidoscolus,urens,1.34,65.24,32.80,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Croton,blanchetianus,4.96,46.01,9.76,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Croton,californicus,0.67,30.44,10.87,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Croton,echioideus,3.90,24.83,12.87,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Euphorbia,californica,1.84,55.76,17.84,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Euphorbia,lomelii,1.53,31.68,10.95,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Homalanthus,populifolius,8.50,95.43,34.75,"Leaf blades about 6.5-11.5 x 5.5-7.5 cm, petioles about 3-9.5 cm. Stipules about 6-18 x 3-5 mm. Lateral veins about 6-10 on each of the midrib. One or two glands visible on the petiole near its junction with the leaf blade. Two or more glands present on the leaf blade close to the point of attachment of the petiole or on other parts of the leaf blade.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Homalanthus_populifolius.htm,,,,,,,,,,,15.25,,
Malpighiales,Euphorbiaceae,Jatropha,cinerea,4.37,80.62,14.24,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Jatropha,cuneata,1.27,60.00,11.45,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Jatropha,mollissima,1.75,37.38,23.30,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Manihot,dichotoma,6.03,123.73,32.47,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Sapium,glandulosum,6.74,109.60,19.77,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Stillingia,trapezoidea,3.82,77.62,12.91,,,,,,,,,,,,,,,
Malpighiales,Hypericaceae,Hypericum,aciculare,0.69,12.67,5.85,,,,,,,,,,,,,,,
Malpighiales,Hypericaceae,Hypericum,androsaemum,0.81,23.57,12.65,,,,,,,,,,,,,,,
Malpighiales,Malpighiaceae,Byrsonima,coccolobifolia,1.79,50.75,16.01,,,,,,,,,,,,,,,
Malpighiales,Malpighiaceae,Byrsonima,intermedia,1.24,39.65,11.88,,,,,,,,,,,,,,,
Malpighiales,Ochnaceae,Ouratea,spectabilis,1.86,61.75,15.95,,,,,,,,,,,,,,,
Malpighiales,Passifloraceae,Passiflora,edulis,6.93,99.59,21.93,,,,,,,,,,,,,,,
Malpighiales,Passifloraceae,Passiflora,filipes,2.36,51.83,16.87,,,,,,,,,,,,,,,
Malpighiales,Phyllanthaceae,Breynia,cernua,1.04,32.77,19.24,,,,,,,,,,,,,,,
Malpighiales,Phyllanthaceae,Phyllanthus,aeneus,1.49,39.85,14.85,,,,,,,,,,,,,,,
Malpighiales,Picrodendraceae,Austrobuxus,eugeniifolius,1.65,60.15,39.15,,,,,,,,,,,,,,,
Malpighiales,Picrodendraceae,Petalostigma,quadriloculare,0.14,20.09,9.35,,,,,,,,,,,,,,,
Malpighiales,Rhizophoraceae,Rhizophora,mangle,10.53,79.57,10.99,,,,,,,,,,,,,,,
Malpighiales,Salicaceae,Populus,tremula,6.00,49.17,13.22,,,,,,,,,,,,,,,
Malpighiales,Salicaceae,Populus,tremuloides,11.22,45.94,11.88,,,,,,,,,,,,,,,
Malpighiales,Salicaceae,Salix,caprea,7.73,50.16,12.97,,,,,,,,,,,,,,,
Malpighiales,Salicaceae,Salix,lasiolepis,4.08,39.66,12.57,,,,,,,,,,,,,,,
Malpighiales,Violaceae,Hymenanthera,dentata,4.54,29.56,8.34,,,,,,,,,,,,,,,
Malpighiales,Violaceae,Rinorea,guatemalensis,7.92,45.93,19.84,,,,,,,,,,,,,,,
Malvales,Bixaceae,Cochlospermum,regium,8.32,145.66,15.16,,,,,,,,,,,,,,,
Malvales,Malvaceae,Brachychiton,acerifolius,9.30,114.61,12.27,,,,,,,,,,,,,,,
Malvales,Malvaceae,Byttneria,aculeata,5.82,53.94,22.72,,,,,,,,,,,,,,,
Malvales,Malvaceae,Ceiba,pentandra,25.50,244.30,71.26,,,,,,,,,,,,,,,
Malvales,Malvaceae,Helicteres,sp,2.56,34.44,9.88,,,,,,,,,,,,,,,
Malvales,Malvaceae,Malacothamnus,fasciculatus,2.70,28.82,15.03,,,,,,,,,,,,,,,
Malvales,Malvaceae,Melochia,tomentosa,1.02,32.67,10.64,,,,,,,,,,,,,,,
Malvales,Malvaceae,Sida,galheirensis,1.08,29.31,9.71,,,,,,,,,,,,,,,
Malvales,Malvaceae,Sphaeralcea,ambigua,1.17,23.88,9.63,,,,,,,,,,,,,,,
Malvales,Muntingiaceae,Muntingia,calabura,9.33,147.28,30.03,,,,,,,,,,,,,,,
Malvales,Thymelaeaceae,Daphne,laureola,0.62,23.28,8.51,,,,,,,,,,,,,,,
Malvales,Thymelaeaceae,Ovidia,pillopillo,1.81,23.38,10.31,,,,,,,,,,,,,,,
Malvales,Thymelaeaceae,Pimelea,linifolia,1.20,23.03,11.38,,,,,,,,,,,,,,,
Metteneusiales,Metteneusiaceae,Calatola,costaricensis,17.77,92.20,22.33,,,,,,,,,,,,,,,
Myrtales,Combretaceae,Combretum,leprosum,7.03,73.77,13.99,,,,,,,,,,,,,,,
Myrtales,Melastomataceae,Brachyotum,rotundifolium,2.88,19.29,10.61,,,,,,,,,,,,,,,
Myrtales,Melastomataceae,Miconia,albicans,3.75,61.88,13.72,,,,,,,,,,,,,,,
Myrtales,Melastomataceae,Miconia,cf_dodsonii,0.82,18.78,13.07,,,,,,,,,,,,,,,
Myrtales,Melastomataceae,Miconia,namandensis,0.89,12.09,12.31,,,,,,,,,,,,,,,
Myrtales,Melastomataceae,Miconia,sp1,0.84,31.78,10.94,,,,,,,,,,,,,,,
Myrtales,Melastomataceae,Miconia,sp2,0.75,23.01,11.79,,,,,,,,,,,,,,,
Myrtales,Melastomataceae,Tibouchina,sp,1.20,16.09,13.65,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Angophora,costata,31.30,112.40,26.02,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Campomanesia,adamantium,1.68,52.66,12.01,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Eucalyptus,coccifera,13.67,117.97,25.81,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Eucalyptus,pilularis,28.07,143.60,20.69,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Eucalyptus,regnans,46.67,157.95,27.30,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Melaleuca,pancheri,3.53,87.81,15.03,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Metrosideros,operculata,5.35,79.68,9.82,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Pleurocalyptus,pancheri,6.55,104.56,12.58,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Syzygium,macranthum,5.33,112.83,10.79,,,,,,,,,,,,,,,
Myrtales,Onagraceae,Fuchsia,magellanica,1.39,32.57,16.10,,,,,,,,,,,,,,,
Myrtales,Vochysiaceae,Callisthene,minor,4.25,31.39,11.62,"...ordinary leaves, 5—8 cm long and up to 0.1 cm wide, petioles about 0.1 cm long",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1438-8677.1952.tb00010.x,,5.1,8.1,-,0.1,5,8,-,0.1,Simples,,,
Myrtales,Vochysiaceae,Vochysia,guatemalensis,19.33,173.45,33.16,"Hojas en verticilos de (2) 3 (4), oblongas a elíptico obovadas, 6-17 cm de largo y 3-6 cm de ancho, ápice obtuso a cortamente acuminado, base aguda a cuneada, glabras; pecíolos 1.3-3 cm de largo.",http://www.worldfloraonline.org/taxon/wfo-0001146187,,,,1.3,3,6,17,3,6,Simples,,,
Oxalidales,Brunelliaceae,Brunellia,mexicana,15.87,106.85,13.32,Hojas 20-60 cm; pecíolo 5-25 cm,http://www.worldfloraonline.org/taxon/wfo-0000441943,,,,5,25,20,60,-,-,Compuesta,,,
Oxalidales,Connaraceae,Rourea,glabra,23.16,127.76,21.23,"Hojas imparipinadas; folíolos (1-) 3-7 (-15); pulvínulo cilíndrico, rugoso, pecíolo 0.5-7.0 cm de largo, glabro o pubérulo; raquis 2.0-15.0 cm de largo, glabro a pubérulo. Folíolos 2.5-9.0 (-11.0) cm de largo, 1.0-4.5 cm de ancho, oblongos, elípticos u oblongo-elípticos, rígido-cartáceos a subcoriáceos, haz oscura, brillante, glabra, envés claro, opaco, glabro, base obtusa, atenuada o cuneada, ápice acuminado; peciólulo 0.1-0.5 cm de largo; venación reticulada, promínula en ambas caras; nervaduras laterales 5-8 (-9) pares, formando ángulos de 50-70º con la nervadura central, claramente anastomosadas cerca al margen, nervaduras terciarias reticuladas. ",http://www.worldfloraonline.org/taxon/wfo-0000398995,,,,0.5,7,2,15,-,-,Compuesta,,,
Oxalidales,Cunoniaceae,Bauera,rubioides,0.64,23.50,8.43,It has small leaves which are comprised of 3 leaflets closely attached to the stems. The leaves are about 50-100 mm long.,http://anpsa.org.au/b-rub.html,,,,,,5,10,,,Compuesta,,,
Oxalidales,Cunoniaceae,Ceratopetalum,apetalum,19.05,55.41,20.66,"Leaves 1-foliolate, lamina elliptic to oblong, mostly 6–12 cm long, 2–5 cm wide; petiole usually 10–20 mm long; stipules 3–5 mm long.",https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Ceratopetalum~apetalum,,,,1,2,6,12,2,5,Compuesta,,,
Oxalidales,Cunoniaceae,Ceratopetalum,gummiferum,12.00,55.33,10.35,"Leaves 3-foliolate; leaflets lanceolate to ovate, usually 3–8 cm long, 0.5–3 cm wide; petiole 10–20 mm long, distinctly channelled above; leaflets sessile; stipules c. 1 mm long.",https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Ceratopetalum~gummiferum,,,,1,2,,,,,Compuesta,,,
Oxalidales,Cunoniaceae,Codia,spatulata,1.45,65.60,18.91,"Feuilles opposées, espacées. Pétiole de (3-) 10- 20 mm, glabre. Limbe obovale [« spatulé »], elliptique, elliptique-ovale à largement obovale, 3-1 0,5 x 1,5-6 cm, coriace, baseaiguë à décurrente,apex obtus, arrondi ou rétus; les deux faces glabres, sauf parfois la nervure médiane, terne; 6 à 10 paires de nervures secondaires, ± équidistantes, celles du milieu form ant un angle de (30-) 45-60° avec la nervure médiane, planes et ± obscures dessus, planes ou à peine proémin entes dessous. Feuilles adultes en cours d'épanouissement glabres ou à indument feutr é et à quelques poil s plu s longs, rapidement glabrescentes",https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers20-06/010063537.pdf,,,,1,2,3,10.5,1.5,6,Simples,,,
Oxalidales,Cunoniaceae,Eucryphia,moorei,12.05,37.85,12.76,"Leaves pinnate, mostly 5–15 cm long; leaflets usually 5–13 but often reduced to 3 on flowering branches, ± oblong, 1–7 cm long, mostly 5–15 mm wide, margins entire, lamina leathery, upper surface dark green and ± glabrous, lower surface white-tomentose; petiole 10–30 mm long; lateral leaflets sessile, terminal petiolule 5–10 mm long; stipules 5–8 mm long.",https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&showsyn=&dist=&constat=&lvl=sp&name=Eucryphia~moorei,,,,1,3,5,15,,,Compuesta,,,
Oxalidales,Cunoniaceae,Geissois,pruinosa,6.24,65.79,15.67,"Feuilles à (3) 5 folioles ; pétiole de 4- 11 cm, glabre. Foliole médiane: pétiolule de 1,1-3,5 cm ; limbe elliptique à largement elliptique ou ± oboval e, 6,8-1 6 x 3,4-8,6 cm, aigu ou arrondi à la base, aigu à arrondi ou rétusà l'apex, coriace, souvent ± condupliqué ; marge parfois révolutée ; les deux faces glabres, souvent glauque s dessous ; domaties absentes; 8 ou 9 paires de nervures secondaires, proémin entes dessous ; nervures tertiaires finement proéminentes dessous.Folioles externes 1/2 à 4/5 aussi longues que la médiane.",https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers20-06/010063537.pdff,,,,4,11,,,,,Compuesta,,,
Oxalidales,Cunoniaceae,Pancheria,hirsuta,3.89,40.15,12.64,"Feuilles verticillées par 3, imparipennées, souvent resserrées, ju squ'à 15 cm de longueur ; folioles latérales par (0) 2 à 4 (5) paires, de taille croissante le long du rachis ; pétiole jusqu'à 8 mm, segments du rachis de 5-20 mm, tous densément veloutés, non ailés ; les plus petites folioles latérales elliptiques ou ± arrondies, 0,7-1,8 x 0,5-1,6 cm, les plus grandes elliptiques, 3,5- 6 (- 9,5) x 1,7- 3 (- 4,5) cm, rapport longueur/largeur environ 2, asymétriques à la base (côté proximal arrondi , côté distal aigu à arrondi), arrondies à l'apex, coriaces, nettement recourbées-révolutéeset/ou ± bullées; face supérieure pubescente (poils finsd'environ 1 mm, doublant des poils plus courts feutrés), finalement glabre, face inférieure pube scente à veloutée, surtout sur les nervuressecondaires,espacesentre les nervures lentem ent glabrescent s; marge serrulée, 15 à 20 dents sur le côté proximal, régulièrement espacées, avec des poil sà leur apex ; 8 à 13 paires de nervures secondaires, proéminentes dessous ; foliole terminale à pétiole jusqu'à 10 mm, limbe elliptique, (3,8-) 5-10,5 (- 12) x (1,7-) 3-5 (-6,5) cm, de taille égale ou plus grande que les plus grandes latérales, largement aigu à la base.",https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers20-06/010063537.pdf,,,,,0.8,,15,,,Compuesta,,,
Oxalidales,Elaeocarpaceae,Dubouzetia,campanulata,4.93,48.28,10.66,"Feuilles groupées vers l’extrémité des rameaux, ordinairement assez épaisses et coriaces,parfois minces, un peu gaufrées ou non, oblongues-lancéolées ou oblongues- spatulées, rarement elliptiques, arrondies, rétuses ou un peu atténuées au sommet, mucronulées ou parfois caudiculées, en coin à la base ; pétiole de 5-15 mm de long, tomenteux-rubigineux ; limbe de 50-120 mm de long sur 1-45 mm de large ; marge faiblement ondulée-sinuée ou irrégulièrement et superficiellement dentée,",https://www.biodiversitylibrary.org/page/59822237#page/72/mode/1up,,,,,,,,,,,,,
Oxalidales,Elaeocarpaceae,Elaeocarpus,angustifolius,25.40,151.76,26.21,"Petiole 1-1.5 cm, villous, glabrescent; leaf blade obovate-oblong to oblong-lanceolate, 9-14 × 3-4.5 cm, papery or membranous, both surfaces villous when young, glabrescent when mature, lateral veins 10-13 per side, slightly prominent abaxially, impressed adaxially, base broadly cuneate, margin serrate, apex acute or obtuse.",http://www.worldfloraonline.org/taxon/wfo-0000664024,,,,1,1.5,9,14,3,4.5,Simple,12,,
